image_name,cluster_label,centroid_x,centroid_y
000341.png,fields,373,272
000341.png,treess,131,141
000342.png,fields,367,270
000342.png,treess,124,140
000343.png,fields,361,269
000343.png,treess,119,139
000344.png,fields,356,268
000344.png,treess,114,138
000345.png,fields,350,267
000345.png,treess,108,138
000346.png,fields,344,266
000346.png,treess,103,137
000347.png,fields,340,265
000347.png,treess,98,135
000348.png,fields,334,264
000348.png,treess,92,134
000349.png,fields,328,263
000349.png,treess,87,134
000350.png,fields,324,262
000350.png,treess,84,133
000351.png,fields,318,261
000351.png,treess,81,132
000352.png,fields,312,260
000352.png,treess,77,131
000353.png,fields,307,259
000353.png,treess,73,130
000354.png,fields,301,259
000354.png,treess,70,129
000355.png,fields,296,258
000355.png,treess,66,128
000356.png,fields,290,258
000356.png,treess,62,127
000357.png,fields,284,257
000357.png,treess,59,126
000358.png,fields,279,257
000358.png,treess,56,125
000359.png,fields,274,256
000359.png,treess,52,124
000360.png,fields,268,256
000360.png,treess,49,124
000361.png,fields,263,256
000361.png,treess,45,123
000362.png,fields,258,256
000362.png,treess,42,124
000363.png,fields,253,256
000363.png,treess,38,124
000364.png,fields,248,255
000364.png,treess,35,123
000365.png,fields,242,255
000365.png,treess,32,123
000366.png,fields,237,255
000366.png,treess,28,122
000367.png,fields,232,255
000367.png,treess,25,122
000368.png,fields,226,255
000368.png,treess,22,121
000369.png,fields,221,254
000369.png,treess,19,121
000370.png,fields,216,254
000370.png,treess,15,120
000371.png,fields,210,254
000371.png,treess,12,120
000372.png,fields,205,253
000372.png,treess,9,119
000373.png,fields,200,253
000373.png,treess,7,119
000374.png,fields,194,253
000374.png,treess,5,119
000375.png,fields,189,252
000375.png,treess,4,118
000376.png,fields,184,251
000376.png,treess,3,118
000377.png,fields,178,250
000377.png,treess,1,118
000378.png,fields,172,249
000378.png,treess,0,117
000379.png,fields,166,249
000379.png,treess,0,116
000380.png,fields,160,248
000380.png,treess,0,116
000381.png,fields,154,247
000381.png,treess,0,115
000382.png,fields,148,247
000382.png,treess,0,115
000383.png,fields,142,246
000383.png,treess,0,115
000384.png,fields,136,245
000384.png,treess,0,114
000385.png,fields,130,244
000385.png,treess,0,113
000386.png,fields,124,243
000386.png,treess,0,113
000387.png,fields,118,242
000387.png,treess,0,112
000388.png,fields,112,242
000388.png,treess,0,111
000389.png,fields,106,241
000389.png,treess,0,111
000390.png,fields,101,240
000390.png,treess,0,110
000391.png,fields,95,239
000391.png,treess,0,109
000392.png,fields,88,238
000392.png,treess,0,109
000393.png,fields,83,237
000393.png,treess,0,108
000394.png,fields,76,236
000394.png,treess,0,107
000395.png,fields,71,235
000395.png,treess,0,106
000396.png,fields,65,234
000396.png,treess,0,105
000397.png,fields,59,233
000397.png,treess,0,104
000398.png,fields,54,231
000398.png,treess,0,103
000399.png,fields,48,230
000399.png,treess,0,102
000400.png,fields,43,230
000400.png,treess,0,102
000401.png,buildings,358,324
000401.png,fields,273,335
000401.png,roads,454,381
000401.png,treess,369,389
000401.png,vehicle,440,383
000402.png,buildings,352,323
000402.png,fields,267,334
000402.png,roads,448,380
000402.png,treess,363,388
000402.png,vehicle,434,382
000403.png,buildings,346,321
000403.png,fields,261,333
000403.png,roads,442,378
000403.png,treess,357,387
000403.png,vehicle,428,380
000404.png,buildings,340,320
000404.png,fields,255,332
000404.png,roads,436,376
000404.png,treess,351,385
000404.png,vehicle,422,378
000405.png,buildings,333,319
000405.png,fields,249,331
000405.png,roads,429,375
000405.png,treess,345,384
000405.png,vehicle,415,377
000406.png,buildings,327,318
000406.png,fields,243,331
000406.png,roads,423,373
000406.png,treess,339,383
000406.png,vehicle,409,375
000407.png,buildings,322,317
000407.png,fields,238,329
000407.png,roads,417,371
000407.png,treess,333,382
000407.png,vehicle,403,373
000408.png,buildings,315,316
000408.png,fields,232,329
000408.png,roads,410,370
000408.png,treess,327,381
000408.png,vehicle,396,372
000409.png,buildings,310,315
000409.png,fields,227,328
000409.png,roads,405,369
000409.png,treess,322,380
000409.png,vehicle,391,371
000410.png,buildings,304,314
000410.png,fields,221,327
000410.png,roads,399,368
000410.png,treess,316,379
000410.png,vehicle,385,370
000411.png,buildings,298,314
000411.png,fields,215,327
000411.png,roads,392,368
000411.png,treess,310,379
000411.png,vehicle,379,370
000412.png,buildings,292,313
000412.png,fields,210,326
000412.png,roads,386,366
000412.png,treess,305,378
000412.png,vehicle,373,368
000413.png,buildings,287,312
000413.png,fields,205,326
000413.png,roads,380,365
000413.png,treess,299,377
000413.png,vehicle,367,367
000414.png,buildings,281,312
000414.png,fields,199,326
000414.png,roads,374,365
000414.png,treess,293,377
000414.png,vehicle,361,367
000415.png,buildings,276,311
000415.png,fields,194,325
000415.png,roads,368,364
000415.png,treess,288,376
000415.png,vehicle,355,366
000416.png,buildings,271,311
000416.png,fields,189,324
000416.png,roads,363,363
000416.png,treess,283,375
000416.png,vehicle,350,365
000417.png,buildings,265,311
000417.png,fields,183,325
000417.png,roads,357,363
000417.png,treess,277,375
000417.png,vehicle,344,365
000418.png,buildings,259,311
000418.png,fields,178,324
000418.png,roads,351,362
000418.png,treess,272,375
000418.png,vehicle,339,364
000419.png,buildings,254,310
000419.png,fields,172,324
000419.png,roads,345,361
000419.png,treess,267,374
000419.png,vehicle,333,363
000420.png,buildings,248,310
000420.png,fields,167,324
000420.png,roads,339,360
000420.png,treess,261,374
000420.png,vehicle,327,362
000421.png,buildings,243,310
000421.png,fields,162,324
000421.png,roads,334,359
000421.png,treess,256,374
000421.png,vehicle,322,361
000422.png,buildings,237,310
000422.png,fields,157,324
000422.png,roads,328,359
000422.png,treess,250,374
000422.png,vehicle,316,361
000423.png,buildings,231,310
000423.png,fields,151,324
000423.png,roads,322,358
000423.png,treess,244,373
000423.png,vehicle,310,360
000424.png,buildings,226,309
